,Tinnitus NO,Tinnitus YES,accuracy,macro avg,weighted avg
precision,0.8994267847837415,0.9723300671719973,0.9328288674930119,0.9358784259778694,0.9358773967647459
recall,0.9746456603986673,0.8910097131240118,0.9328288674930119,0.9328276867613395,0.9328288674930119
f1-score,0.9355267080408683,0.9298953882422278,0.9328288674930119,0.9327110481415481,0.9327111276417851
support,17709.0,17708.0,0.9328288674930119,35417.0,35417.0
