,precision,recall,f1-score,support
Tinnitus NO,0.9081440385219303,0.9797842904737704,0.9426049164742633,17709.0
Tinnitus YES,0.9780516216050518,0.9008922520894511,0.9378876510185484,17708.0
accuracy,0.9403393850410819,0.9403393850410819,0.9403393850410819,0.9403393850410819
macro avg,0.943097830063491,0.9403382712816107,0.9402462837464058,35417.0
weighted avg,0.9430968431421949,0.9403393850410819,0.9402463503424678,35417.0
