,Tinnitus NO,Tinnitus YES,accuracy,macro avg,weighted avg
precision,0.5691765662405709,0.6153035095646935,0.5864697744021232,0.5922400379026322,0.5922393867048553
recall,0.7115590942458637,0.4613733905579399,0.5864697744021232,0.5864662424019018,0.5864697744021232
f1-score,0.6324533226259788,0.5273349254502033,0.5864697744021232,0.579894124038091,0.5798956080485546
support,17709.0,17708.0,0.5864697744021232,35417.0,35417.0
