,Tinnitus NO,Tinnitus YES,accuracy,macro avg,weighted avg
precision,0.8454750564051141,0.9453205791106515,0.8890928085382725,0.8953978177578827,0.8953964081872994
recall,0.9522276808402507,0.8259543709058053,0.8890928085382725,0.889091025873028,0.8890928085382725
f1-score,0.8956817336803526,0.8816154309825196,0.8890928085382725,0.8886485823314361,0.888648780912664
support,17709.0,17708.0,0.8890928085382725,35417.0,35417.0
