,precision,recall,f1-score,support
Tinnitus NO,0.7948819482255111,0.9068270370997797,0.8471723992403462,17709.0
Tinnitus YES,0.8915472591034573,0.7659814772983962,0.8240082619524938,17708.0
accuracy,0.8364062455882768,0.8364062455882768,0.8364062455882768,0.8364062455882768
macro avg,0.8432146036644842,0.836404257199088,0.83559033059642,35417.0
weighted avg,0.8432132389905864,0.8364062455882768,0.8355906576164568,35417.0
