,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_max_features,param_min_samples_leaf,param_random_state,param_subsample,param_verbose,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
155,21.72852149,1.409388546,0.118399954,0.010597614,0.1,5,0.5,3,42,1,1,"{'learning_rate': 0.1, 'max_depth': 5, 'max_features': 0.5, 'min_samples_leaf': 3, 'random_state': 42, 'subsample': 1, 'verbose': 1}",-0.150258262,-0.152855394,-0.151621581,-0.148971644,-0.150253958,-0.150792168,0.0013292,694
591,9.962607288,0.607415232,0.12021184,0.01322236,0.3,4,0.25,10,42,1,1,"{'learning_rate': 0.3, 'max_depth': 4, 'max_features': 0.25, 'min_samples_leaf': 10, 'random_state': 42, 'subsample': 1, 'verbose': 1}",-0.149501708,-0.150819792,-0.152939021,-0.150226075,-0.150496125,-0.150796544,0.001156117,695
1215,3.852748251,0.048684211,0.114750957,0.004897771,1,5,1,10,42,1,1,"{'learning_rate': 1, 'max_depth': 5, 'max_features': 1, 'min_samples_leaf': 10, 'random_state': 42, 'subsample': 1, 'verbose': 1}",-0.150627028,-0.154440396,-0.147891237,-0.149341322,-0.151786812,-0.150817359,0.002229051,696
153,14.21525331,0.658195583,0.153197575,0.028534122,0.1,5,0.5,3,42,0.5,1,"{'learning_rate': 0.1, 'max_depth': 5, 'max_features': 0.5, 'min_samples_leaf': 3, 'random_state': 42, 'subsample': 0.5, 'verbose': 1}",-0.150109727,-0.152171845,-0.151938112,-0.149947603,-0.150080407,-0.150849539,0.00098852,697
148,8.469506931,1.066281463,0.122997665,0.007153947,0.1,5,0.5,2,42,0.25,1,"{'learning_rate': 0.1, 'max_depth': 5, 'max_features': 0.5, 'min_samples_leaf': 2, 'random_state': 42, 'subsample': 0.25, 'verbose': 1}",-0.149556195,-0.151025345,-0.152177769,-0.150022483,-0.151581115,-0.150872581,0.000967927,698
587,9.464653301,0.365814703,0.115014648,0.014186442,0.3,4,0.25,3,42,1,1,"{'learning_rate': 0.3, 'max_depth': 4, 'max_features': 0.25, 'min_samples_leaf': 3, 'random_state': 42, 'subsample': 1, 'verbose': 1}",-0.151449935,-0.151527453,-0.150545005,-0.149498564,-0.151412881,-0.150886767,0.000780813,699
345,9.870796871,0.116687564,0.102000046,0.007320717,0.2,4,0.5,3,42,0.5,1,"{'learning_rate': 0.2, 'max_depth': 4, 'max_features': 0.5, 'min_samples_leaf': 3, 'random_state': 42, 'subsample': 0.5, 'verbose': 1}",-0.150750158,-0.151304084,-0.152516765,-0.149820143,-0.150505796,-0.150979389,0.000904394,700
1041,5.338616276,0.062692459,0.057798243,0.00222918,1,3,0.5,1,42,0.5,1,"{'learning_rate': 1, 'max_depth': 3, 'max_features': 0.5, 'min_samples_leaf': 1, 'random_state': 42, 'subsample': 0.5, 'verbose': 1}",-0.150371206,-0.152549912,-0.15197242,-0.14829364,-0.151825996,-0.151002635,0.00153296,701
579,9.749081469,0.361727752,0.11711731,0.018581602,0.3,4,0.25,1,42,1,1,"{'learning_rate': 0.3, 'max_depth': 4, 'max_features': 0.25, 'min_samples_leaf': 1, 'random_state': 42, 'subsample': 1, 'verbose': 1}",-0.150188243,-0.151237277,-0.152310289,-0.150269665,-0.151060909,-0.151013277,0.000770497,702
791,10.19926639,0.295505343,0.116802645,0.069565975,0.5,3,0.5,2,42,1,1,"{'learning_rate': 0.5, 'max_depth': 3, 'max_features': 0.5, 'min_samples_leaf': 2, 'random_state': 42, 'subsample': 1, 'verbose': 1}",-0.151755561,-0.150212261,-0.151418299,-0.151054312,-0.150957711,-0.151079629,0.000517574,703
152,7.746908712,0.523664353,0.122813082,0.011399321,0.1,5,0.5,3,42,0.25,1,"{'learning_rate': 0.1, 'max_depth': 5, 'max_features': 0.5, 'min_samples_leaf': 3, 'random_state': 42, 'subsample': 0.25, 'verbose': 1}",-0.149906043,-0.151425422,-0.15186148,-0.150284882,-0.151949461,-0.151085458,0.000836209,704
