,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_max_features,param_min_samples_leaf,param_random_state,param_subsample,param_verbose,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,3.523853063583374,0.07446171609018051,0.07545967102050781,0.007438488908482793,0.1,3,0.25,1,42,0.25,1,"{'learning_rate': 0.1, 'max_depth': 3, 'max_features': 0.25, 'min_samples_leaf': 1, 'random_state': 42, 'subsample': 0.25, 'verbose': 1}",0.7057725802438417,0.7168454336908674,0.7090338075004617,0.7032600642133862,0.7017262638717633,0.7073276299040641,0.005363547379040998,1224
1,4.676027393341064,0.0740131750115922,0.08009233474731445,0.011599541114837544,0.1,3,0.25,1,42,0.5,1,"{'learning_rate': 0.1, 'max_depth': 3, 'max_features': 0.25, 'min_samples_leaf': 1, 'random_state': 42, 'subsample': 0.5, 'verbose': 1}",0.7120418848167539,0.7093963907902924,0.7099519052904181,0.7074030552291423,0.7044210785217979,0.7086428629296809,0.00257663861061974,1206
2,5.349645471572876,0.15126590234625378,0.07898087501525879,0.012732762973333365,0.1,3,0.25,1,42,0.75,1,"{'learning_rate': 0.1, 'max_depth': 3, 'max_features': 0.25, 'min_samples_leaf': 1, 'random_state': 42, 'subsample': 0.75, 'verbose': 1}",0.7106390907397058,0.7109519693789357,0.7093224530168151,0.7034303082935301,0.7103206351160072,0.7089328913089987,0.0028051311480947103,1204
3,5.4375083446502686,0.09087156809042216,0.07324790954589844,0.0027253452596968245,0.1,3,0.25,1,42,1,1,"{'learning_rate': 0.1, 'max_depth': 3, 'max_features': 0.25, 'min_samples_leaf': 1, 'random_state': 42, 'subsample': 1, 'verbose': 1}",0.7064081581266524,0.7167235494880546,0.7089077084749953,0.7047464806278809,0.704768973835591,0.7083109741106347,0.004472127117788202,1215
4,3.6198752880096436,0.05675507870796708,0.07784595489501953,0.006899415311276251,0.1,3,0.25,2,42,0.25,1,"{'learning_rate': 0.1, 'max_depth': 3, 'max_features': 0.25, 'min_samples_leaf': 2, 'random_state': 42, 'subsample': 0.25, 'verbose': 1}",0.705940902021773,0.7180091845600097,0.7106073672539116,0.7040747341896626,0.7042079970426961,0.7085680370136107,0.005280069921940304,1209
5,4.5427165031433105,0.12813162538131112,0.07809481620788575,0.01003677090776837,0.1,3,0.25,2,42,0.5,1,"{'learning_rate': 0.1, 'max_depth': 3, 'max_features': 0.25, 'min_samples_leaf': 2, 'random_state': 42, 'subsample': 0.5, 'verbose': 1}",0.7112970711297072,0.7093522493933172,0.7099519052904181,0.7074905672048,0.7044210785217979,0.7085025743080081,0.002379684296853262,1210
6,5.270019674301148,0.12295117826188158,0.07747874259948731,0.007470748566707655,0.1,3,0.25,2,42,0.75,1,"{'learning_rate': 0.1, 'max_depth': 3, 'max_features': 0.25, 'min_samples_leaf': 2, 'random_state': 42, 'subsample': 0.75, 'verbose': 1}",0.7106390907397058,0.7109519693789357,0.7093224530168151,0.7034303082935301,0.712549115913556,0.7093785874685086,0.0031464845772309655,1201
7,5.405720615386963,0.13535235149357355,0.07642087936401368,0.0057719773840117445,0.1,3,0.25,2,42,1,1,"{'learning_rate': 0.1, 'max_depth': 3, 'max_features': 0.25, 'min_samples_leaf': 2, 'random_state': 42, 'subsample': 1, 'verbose': 1}",0.7064081581266524,0.7168827945647454,0.7089077084749953,0.7047464806278809,0.704768973835591,0.708342823125973,0.00453209034345369,1213
8,3.637582302093506,0.08617053899510041,0.07254009246826172,0.0050218598538991945,0.1,3,0.25,3,42,0.25,1,"{'learning_rate': 0.1, 'max_depth': 3, 'max_features': 0.25, 'min_samples_leaf': 3, 'random_state': 42, 'subsample': 0.25, 'verbose': 1}",0.7072867445908979,0.7161366313309776,0.7125361560711428,0.7036535859269284,0.7008620689655173,0.7080950373770928,0.0056051124668293475,1217
9,4.580430698394776,0.13768969141663254,0.0759608268737793,0.0058006537645241595,0.1,3,0.25,3,42,0.5,1,"{'learning_rate': 0.1, 'max_depth': 3, 'max_features': 0.25, 'min_samples_leaf': 3, 'random_state': 42, 'subsample': 0.5, 'verbose': 1}",0.7121221564350265,0.7095771144278606,0.7093815838393852,0.7074905672048,0.7046083799913863,0.7086359603796917,0.002495139977300406,1207
