,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_max_features,param_min_samples_leaf,param_random_state,param_subsample,param_verbose,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,4.157919025421142,0.07703873245148826,0.06496357917785645,0.023558494974228406,0.1,3,0.25,1,42,0.25,1,"{'learning_rate': 0.1, 'max_depth': 3, 'max_features': 0.25, 'min_samples_leaf': 1, 'random_state': 42, 'subsample': 0.25, 'verbose': 1}",0.606332288401254,0.5991222570532916,0.6157993730407524,0.609153605015674,0.5442006269592476,0.594921630094044,0.025918710653014414,1143
1,4.94192066192627,0.07966630416339948,0.04976801872253418,0.0030810387792000416,0.1,3,0.25,1,42,0.5,1,"{'learning_rate': 0.1, 'max_depth': 3, 'max_features': 0.25, 'min_samples_leaf': 1, 'random_state': 42, 'subsample': 0.5, 'verbose': 1}",0.6238244514106583,0.6041379310344828,0.6135423197492162,0.6011912225705329,0.5465830721003134,0.5978557993730407,0.02683251981556919,1095
2,5.58262791633606,0.0827821236376685,0.06862573623657227,0.01856705708631148,0.1,3,0.25,1,42,0.75,1,"{'learning_rate': 0.1, 'max_depth': 3, 'max_features': 0.25, 'min_samples_leaf': 1, 'random_state': 42, 'subsample': 0.75, 'verbose': 1}",0.6164263322884013,0.6047021943573667,0.611974921630094,0.5985579937304075,0.5589341692789969,0.5981191222570533,0.020523776951323493,1087
3,5.525520467758179,0.0629299639001972,0.05939702987670899,0.014123812133053514,0.1,3,0.25,1,42,1,1,"{'learning_rate': 0.1, 'max_depth': 3, 'max_features': 0.25, 'min_samples_leaf': 1, 'random_state': 42, 'subsample': 1, 'verbose': 1}",0.6140438871473354,0.6098432601880878,0.6114733542319749,0.6121630094043887,0.5667711598746081,0.6028589341692789,0.018094117749139407,984
4,3.885908508300781,0.0788984359843987,0.05098438262939453,0.006815492023173268,0.1,3,0.25,2,42,0.25,1,"{'learning_rate': 0.1, 'max_depth': 3, 'max_features': 0.25, 'min_samples_leaf': 2, 'random_state': 42, 'subsample': 0.25, 'verbose': 1}",0.606269592476489,0.6042633228840125,0.613166144200627,0.616614420062696,0.5407523510971787,0.5962131661442006,0.02809075779049349,1124
5,4.681994438171387,0.04277338183361213,0.04635853767395019,0.003836908069151765,0.1,3,0.25,2,42,0.5,1,"{'learning_rate': 0.1, 'max_depth': 3, 'max_features': 0.25, 'min_samples_leaf': 2, 'random_state': 42, 'subsample': 0.5, 'verbose': 1}",0.6225078369905956,0.6041379310344828,0.6136050156739812,0.6011912225705329,0.5518495297805642,0.5986583072100313,0.024575222263827783,1076
6,5.359116268157959,0.08489711252139519,0.06828842163085938,0.01713401957452936,0.1,3,0.25,2,42,0.75,1,"{'learning_rate': 0.1, 'max_depth': 3, 'max_features': 0.25, 'min_samples_leaf': 2, 'random_state': 42, 'subsample': 0.75, 'verbose': 1}",0.6162382445141066,0.6047021943573667,0.6121003134796238,0.5985579937304075,0.5589341692789969,0.5981065830721002,0.020507391348257204,1089
7,5.480758571624756,0.08127017625933973,0.049895429611206056,0.004385127316625321,0.1,3,0.25,2,42,1,1,"{'learning_rate': 0.1, 'max_depth': 3, 'max_features': 0.25, 'min_samples_leaf': 2, 'random_state': 42, 'subsample': 1, 'verbose': 1}",0.6082758620689656,0.6098432601880878,0.6114733542319749,0.6121630094043887,0.5667711598746081,0.601705329153605,0.017518969134550918,1013
8,3.879102897644043,0.06420543279719135,0.05519356727600098,0.008786077835975278,0.1,3,0.25,3,42,0.25,1,"{'learning_rate': 0.1, 'max_depth': 3, 'max_features': 0.25, 'min_samples_leaf': 3, 'random_state': 42, 'subsample': 0.25, 'verbose': 1}",0.6144200626959248,0.5879623824451411,0.6191849529780564,0.6157993730407524,0.5420689655172414,0.5958871473354231,0.029127142066610393,1127
9,4.747167444229126,0.0863672458045824,0.05921492576599121,0.011345406203075895,0.1,3,0.25,3,42,0.5,1,"{'learning_rate': 0.1, 'max_depth': 3, 'max_features': 0.25, 'min_samples_leaf': 3, 'random_state': 42, 'subsample': 0.5, 'verbose': 1}",0.6267711598746082,0.6041379310344828,0.6139811912225706,0.6049529780564263,0.5503448275862068,0.600037617554859,0.026151299187416478,1048
10,5.675235891342163,0.0750234722524678,0.06398491859436035,0.0029115142381599406,0.1,3,0.25,3,42,0.75,1,"{'learning_rate': 0.1, 'max_depth': 3, 'max_features': 0.25, 'min_samples_leaf': 3, 'random_state': 42, 'subsample': 0.75, 'verbose': 1}",0.6156112852664577,0.5974921630094044,0.6126018808777429,0.5956739811912226,0.5512225705329153,0.5945203761755485,0.023050507818969102,1148
11,5.839324998855591,0.06657532073502792,0.057056427001953125,0.0027204562719517697,0.1,3,0.25,3,42,1,1,"{'learning_rate': 0.1, 'max_depth': 3, 'max_features': 0.25, 'min_samples_leaf': 3, 'random_state': 42, 'subsample': 1, 'verbose': 1}",0.609153605015674,0.6099059561128527,0.6123510971786834,0.6121630094043887,0.5667711598746081,0.6020689655172413,0.01769269665767459,1002
12,4.304420042037964,0.1335559589245065,0.05121979713439941,0.005978433652292303,0.1,3,0.25,10,42,0.25,1,"{'learning_rate': 0.1, 'max_depth': 3, 'max_features': 0.25, 'min_samples_leaf': 10, 'random_state': 42, 'subsample': 0.25, 'verbose': 1}",0.6133542319749217,0.6012539184952979,0.6264576802507837,0.6138557993730408,0.5418181818181819,0.5993479623824453,0.029849281550550427,1060
13,4.951664876937866,0.20546903718018641,0.05101280212402344,0.0028540273430417134,0.1,3,0.25,10,42,0.5,1,"{'learning_rate': 0.1, 'max_depth': 3, 'max_features': 0.25, 'min_samples_leaf': 10, 'random_state': 42, 'subsample': 0.5, 'verbose': 1}",0.6267711598746082,0.5928526645768025,0.6104075235109718,0.6033855799373041,0.5554858934169279,0.5977805642633229,0.023851349277429733,1097
14,5.4118505954742435,0.11375740856252509,0.05250835418701172,0.006495863155302707,0.1,3,0.25,10,42,0.75,1,"{'learning_rate': 0.1, 'max_depth': 3, 'max_features': 0.25, 'min_samples_leaf': 10, 'random_state': 42, 'subsample': 0.75, 'verbose': 1}",0.6182445141065831,0.6070846394984326,0.6150470219435736,0.6047021943573667,0.5515987460815047,0.5993354231974922,0.024380529043494505,1061
15,5.494154834747315,0.06525225457041176,0.06062889099121094,0.014469806365453237,0.1,3,0.25,10,42,1,1,"{'learning_rate': 0.1, 'max_depth': 3, 'max_features': 0.25, 'min_samples_leaf': 10, 'random_state': 42, 'subsample': 1, 'verbose': 1}",0.6118495297805643,0.6088401253918495,0.618808777429467,0.6083385579937304,0.5661442006269592,0.6027962382445141,0.018702840641770472,985
16,4.935108804702759,0.21532914170061843,0.050551414489746094,0.0035203890978195143,0.1,3,0.5,1,42,0.25,1,"{'learning_rate': 0.1, 'max_depth': 3, 'max_features': 0.5, 'min_samples_leaf': 1, 'random_state': 42, 'subsample': 0.25, 'verbose': 1}",0.6134169278996865,0.6095924764890283,0.6110971786833855,0.6199373040752351,0.5663949843260188,0.6040877742946708,0.01917509120189515,955
17,6.327131032943726,0.07759749931720195,0.04772152900695801,0.003525060612477963,0.1,3,0.5,1,42,0.5,1,"{'learning_rate': 0.1, 'max_depth': 3, 'max_features': 0.5, 'min_samples_leaf': 1, 'random_state': 42, 'subsample': 0.5, 'verbose': 1}",0.6139184952978056,0.6015673981191223,0.602257053291536,0.5993730407523511,0.564012539184953,0.5962257053291536,0.016885138141457763,1122
18,7.45454592704773,0.15135430377555553,0.046064567565917966,0.0033652746120815696,0.1,3,0.5,1,42,0.75,1,"{'learning_rate': 0.1, 'max_depth': 3, 'max_features': 0.5, 'min_samples_leaf': 1, 'random_state': 42, 'subsample': 0.75, 'verbose': 1}",0.6213166144200627,0.613103448275862,0.5594984326018809,0.594858934169279,0.564012539184953,0.5905579937304075,0.02506888848980518,1219
19,7.91370210647583,0.11134784967804306,0.05575661659240723,0.010015084811449911,0.1,3,0.5,1,42,1,1,"{'learning_rate': 0.1, 'max_depth': 3, 'max_features': 0.5, 'min_samples_leaf': 1, 'random_state': 42, 'subsample': 1, 'verbose': 1}",0.6196865203761756,0.5941065830721003,0.5072727272727273,0.5990595611285267,0.5600626959247649,0.5760376175548589,0.03935868995502362,1271
20,4.758544826507569,0.08107322392723645,0.052027654647827146,0.009323715368357926,0.1,3,0.5,2,42,0.25,1,"{'learning_rate': 0.1, 'max_depth': 3, 'max_features': 0.5, 'min_samples_leaf': 2, 'random_state': 42, 'subsample': 0.25, 'verbose': 1}",0.6184952978056426,0.6126645768025079,0.5927272727272728,0.6152978056426333,0.5661442006269592,0.6010658307210031,0.019646466051316692,1027
21,6.084996747970581,0.21801252384718509,0.047628927230834964,0.008894802233620443,0.1,3,0.5,2,42,0.5,1,"{'learning_rate': 0.1, 'max_depth': 3, 'max_features': 0.5, 'min_samples_leaf': 2, 'random_state': 42, 'subsample': 0.5, 'verbose': 1}",0.6135423197492162,0.5990595611285267,0.6017554858934169,0.5993730407523511,0.5633855799373041,0.5954231974921631,0.016873848456294856,1133
