,precision,recall,f1-score,support
Tinnitus NO,0.5443246207274721,0.22060893399511075,0.31396942540853984,13499.0
Tinnitus YES,0.511264923119803,0.8153196533076524,0.6284474390452806,13499.0
accuracy,0.5179642936513816,0.5179642936513816,0.5179642936513816,0.5179642936513816
macro avg,0.5277947719236376,0.5179642936513816,0.4712084322269102,26998.0
weighted avg,0.5277947719236376,0.5179642936513816,0.4712084322269102,26998.0
