,precision,recall,f1-score,support
Tinnitus NO,0.6366850828729281,0.25269713183054116,0.36179831721712913,11401.0
Tinnitus YES,0.5338403457897904,0.8558021226208228,0.6575240919199408,11401.0
accuracy,0.5542496272256819,0.5542496272256819,0.5542496272256819,0.5542496272256819
macro avg,0.5852627143313593,0.5542496272256819,0.5096612045685349,22802.0
weighted avg,0.5852627143313592,0.5542496272256819,0.5096612045685349,22802.0
