,precision,recall,f1-score,support
Tinnitus NO,0.681253529079616,0.21666517015354225,0.32876898971319574,11137.0
Tinnitus YES,0.5342729019859065,0.8986262009517824,0.6701262178178043,11137.0
accuracy,0.5576456855526623,0.5576456855526623,0.5576456855526623,0.5576456855526623
macro avg,0.6077632155327612,0.5576456855526624,0.4994476037655,22274.0
weighted avg,0.6077632155327612,0.5576456855526623,0.49944760376550007,22274.0
