,precision,recall,f1-score,support
Tinnitus NO,0.5995186862967158,0.23770767849124383,0.3404340836012862,17816.0
Tinnitus YES,0.5246079529543545,0.8412101481814099,0.6462142117971714,17816.0
accuracy,0.5394589133363269,0.5394589133363269,0.5394589133363269,0.5394589133363269
macro avg,0.5620633196255351,0.5394589133363269,0.49332414769922883,35632.0
weighted avg,0.5620633196255351,0.5394589133363269,0.4933241476992288,35632.0
