,precision,recall,f1-score,support
Tinnitus NO,0.6364274962368289,0.29538891476478807,0.4034992842373151,21470.0
Tinnitus YES,0.5412282031842305,0.8312529110386586,0.6555973918633484,21470.0
accuracy,0.5633209129017234,0.5633209129017234,0.5633209129017234,0.5633209129017234
macro avg,0.5888278497105297,0.5633209129017234,0.5295483380503317,42940.0
weighted avg,0.5888278497105297,0.5633209129017234,0.5295483380503317,42940.0
