,precision,recall,f1-score,support
Tinnitus NO,0.6897531521932161,0.26044390799973177,0.37811526479750773,14913.0
Tinnitus YES,0.5441620169456499,0.8828538858713874,0.6733149227779482,14913.0
accuracy,0.5716488969355595,0.5716488969355595,0.5716488969355595,0.5716488969355595
macro avg,0.6169575845694331,0.5716488969355595,0.525715093787728,29826.0
weighted avg,0.616957584569433,0.5716488969355595,0.525715093787728,29826.0
