,precision,recall,f1-score,support
Tinnitus NO,0.6413265306122449,0.25957666494579246,0.3695700110253583,9685.0
Tinnitus YES,0.5358576051779935,0.8548270521424883,0.6587626815197931,9685.0
accuracy,0.5572018585441404,0.5572018585441404,0.5572018585441404,0.5572018585441404
macro avg,0.5885920678951192,0.5572018585441404,0.5141663462725757,19370.0
weighted avg,0.5885920678951192,0.5572018585441404,0.5141663462725756,19370.0
