,precision,recall,f1-score,support
Tinnitus NO,0.588199879590608,0.2017552916881776,0.30045360190666565,9685.0
Tinnitus YES,0.5182577268195414,0.8587506453278265,0.6464073368826021,9685.0
accuracy,0.5302529685080021,0.5302529685080021,0.5302529685080021,0.5302529685080021
macro avg,0.5532288032050747,0.5302529685080021,0.47343046939463385,19370.0
weighted avg,0.5532288032050747,0.5302529685080021,0.4734304693946339,19370.0
