,precision,recall,f1-score,support
Tinnitus NO,0.6679772826561817,0.21351766513056836,0.3235978835978836,7161.0
Tinnitus YES,0.5319537937338984,0.8938695712889261,0.6669792643534437,7161.0
accuracy,0.5536936182097473,0.5536936182097473,0.5536936182097473,0.5536936182097473
macro avg,0.5999655381950401,0.5536936182097472,0.4952885739756636,14322.0
weighted avg,0.5999655381950401,0.5536936182097473,0.4952885739756636,14322.0
